date,model,cpu,ram,hd,condition,damage,url,sold_for,shipping,total
2019-04-07,T460s,i5-6300U,8,256,used,nicks,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-Intel-Core-i5-6300U-2-4GHz-8GB-256GB-SSD-Windows-10/264271299029,279,20,299
2019-04-04,T460s,i5-6200U,20,512,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-Core-i5-6200U-500GB-SSD-20GB-RAM-Win-10-Pro-w-Warranty/202637654616?hash=item2f2e253a58%3Ag%3AZWkAAOSwHDdcnGZR&LH_Auction=1,380,20,400
2019-04-04,T460s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-14-Laptop-i5-6300u-2-4GHz-8GB-256GB-SSD-Windows-10/333137290592?hash=item4d9087a560%3Ag%3A5C8AAOSwaAlcn9rt&LH_Auction=1,340,18,358
2019-04-03,T460s,i7-6600U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14-i7-6600U-2-60GHz-256GB-SSD-8GB-WARRANTY-1920x1080/133004875878?hash=item1ef7b55866%3Ag%3AvfsAAOSw64Ncm-mn&LH_Auction=1,460,0,460
2019-04-02,T470s,i7-7600U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-i7-7600U-2-80GHz-8GB-256GB-SSD-FHD/183752049552?epid=241210249&hash=item2ac879c390%3Ag%3AvKEAAOSwJBhcgpia&LH_Auction=1&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000,500,20.68,520.68
2019-04-01,T460s,i7-6600U,20,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14-i7-6600U-2-6GHz-20GB-RAM-237GB-1920x1080-Touchscreen/123707502947?hash=item1ccd8ab163%3Ag%3AsUYAAOSwBCdcmZE1&LH_Auction=1&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000,460,25.45,485.45
2019-04-01,T460s,i7-6600U,8,512,seller refurbished,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14-i7-6600U-2-60GHz-8GB-512GB-SSD-Windows-10-Laptop/223465014176?epid=12029083905&hash=item34078d83a0%3Ag%3AVHgAAOSwY8JccHUW&LH_Auction=1&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000,534.53,24.5,559.03
2019-03-31,T470s,i5-6300U,8,256,used,scratches,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-touch-i5-6300U-2-4Ghz-FHD-IPS-8GB-256GB-Long-Warranty/362589661374?hash=item546c0728be%3Ag%3AOjIAAOSwRG1cj-H4&LH_Auction=1&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000,467,39,506
2019-03-26,T470s,i5-6300U,12,256,open box,none,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-14-256GB-i5-6th-Gen-2-40-2-50GHz-12GB-RAM/273771828206?hash=item3fbe1293ee%3Ag%3ATKAAAOSw7Khck6-f&LH_Auction=1,510,0,510
2019-03-25,T470s,i5-6300U,8,256,open box,none,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-touch-i5-6300U-2-4Ghz-FHD-IPS-8GB-256GB-Long-Warranty/362585085940?hash=item546bc157f4%3Ag%3A2kEAAOSwJjNcioRi&LH_Auction=1,600,39,639
